"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000278637.1",7989.97320754725,-1.83110308596963,0.298211407423568,-6.1402851815417,8.23734619485631e-10,5.02336094675979e-08
"ENSG00000274267.1",27339.8239491236,-2.61579392394471,0.2709400212381,-9.65451287702516,4.70389489398458e-22,2.01668802909375e-19
"ENSG00000278463.1",10531.0547754065,-2.20865829875229,0.263250539449779,-8.38994785487852,4.86357846472544e-17,9.82998687413365e-15
"ENSG00000276410.3",4374.01052342553,-2.14736607801686,0.3769170817392,-5.6971842934481,1.21802243777961e-08,5.78356201162732e-07
"ENSG00000278272.1",19774.7241877541,-1.80410799752171,0.153179178628003,-11.7777625763552,5.08242892224845e-32,5.53124649169009e-29
"ENSG00000158373.8",50610.6241577714,-1.56443869168834,0.127522659952303,-12.2679270670286,1.34656746211318e-34,2.11680405044193e-31
"ENSG00000277157.1",30768.9636380451,-1.50901248731895,0.157713512181933,-9.5680608873779,1.0892948637674e-21,4.53274815664153e-19
"ENSG00000277775.1",7470.33621583995,-1.85827907738737,0.258701391713628,-7.18310429286136,6.81460754035391e-13,7.53227089694743e-11
"ENSG00000278588.1",17090.8551557051,-1.86459673343417,0.499517077904045,-3.73279876887883,0.000189363877220661,0.00308654393423723
"ENSG00000124635.8",16103.7116240714,-2.56352706747016,0.432191866646809,-5.93145606223334,3.0025991782896e-09,1.64300068607758e-07
"ENSG00000196787.3",31719.5399301084,-2.11143822721852,0.23430143475182,-9.01163165925565,2.03013182142854e-19,5.98381354366063e-17
"ENSG00000276180.1",8282.88505513616,-1.51574582268567,0.236392482585441,-6.41198825828913,1.43633902232238e-10,1.01606622439085e-08
"ENSG00000274997.1",20049.3168388232,-2.41389873517462,0.351699250600527,-6.86353107393002,6.71789030694364e-12,6.05380331609163e-10
"ENSG00000185130.5",18893.3605677054,-1.88855498249598,0.358259268014662,-5.27147557957577,1.35331296614911e-07,5.18879995801562e-06
"ENSG00000196747.4",14615.3421357768,-1.85319470565967,0.190535982267583,-9.72621907738718,2.33096322643902e-22,1.09380899780102e-19
